gene5	chrom5	strand5	brpos5	cds.brpos5.start	gene3	chrom3	strand3	brpos3	cds.brpos3.start	fusionName	symbol5	symbol3	SR.passed	MR.passed	supportRead	score	info	Sample
ENSG00000166557	15	+	79606347	79606304	ENSG00000169330	15	+	79748440	79748441	ENSG00000166557-ENSG00000169330	TMED3	KIAA1024	0	4	7	7		/2260_PR40968a_1
ENSG00000115970	2	-	43768298	43768362	ENSG00000150722	2	+	182981934	182981935	ENSG00000115970-ENSG00000150722	THADA	PPP1R1C	0	6	6	6		/2260_PR40968a_1
ENSG00000014824	4	+	42072708	42072649	ENSG00000104356	8	+	99161043	99161044	ENSG00000014824-ENSG00000104356	SLC30A9	POP1	0	4	6	6	ribonucleoprotein, 	/2260_PR40968a_1
ENSG00000111371	12	-	46589508	46589798	ENSG00000196263	19	+	57037069	57037528	ENSG00000111371-ENSG00000196263	SLC38A1	ZNF471	0	6	6	6		/2260_PR40968a_1
ENSG00000140396	8	-	71068206	71068281	ENSG00000132554	8	-	101065204	101065030	ENSG00000140396-ENSG00000132554	NCOA2	RGS22	0	5	5	5		/2260_PR40968a_1
ENSG00000007202	17	-	26955283	26955330	ENSG00000196535	17	-	27426780	27426778	ENSG00000007202-ENSG00000196535	KIAA0100	MYO18A	0	4	5	5		/2260_PR40968a_1
ENSG00000078699	20	+	32162067	32162007	ENSG00000164347	5	-	74060977	74060909	ENSG00000078699-ENSG00000164347	CBFA2T2	GFM2	0	5	5	5	mitochondrial translation, 	/2260_PR40968a_1
ENSG00000164951	8	+	94929307	94929262	ENSG00000008988	8	-	56986718	56986716	ENSG00000164951-ENSG00000008988	PDP1	RPS20	0	4	4	4	cytosolic ribosomal subunit, ribonucleoprotein, 	/2260_PR40968a_1
ENSG00000146205	2	+	242157796	242157744	ENSG00000006607	2	+	242343243	242343246	ENSG00000146205-ENSG00000006607	ANO7	FARP2	0	4	4	4		/2260_PR40968a_1
ENSG00000185015	8	+	86180856	86180856	ENSG00000164879	8	+	86285665	86285697	ENSG00000185015-ENSG00000164879	CA13	CA3	3	0	3	3		/2260_PR40968a_1
ENSG00000102900	16	+	56774785	56774735	ENSG00000136152	13	+	46060630	46060632	ENSG00000102900-ENSG00000136152	NUP93	COG3	0	3	3	3		/2260_PR40968a_1
ENSG00000002822	7	-	1937836	1937928	ENSG00000198517	7	+	1578785	1578785	ENSG00000002822-ENSG00000198517	MAD1L1	MAFK	0	3	3	3		/2260_PR40968a_1
ENSG00000087470	12	+	32832399	32832324	ENSG00000071203	11	+	60274201	60274202	ENSG00000087470-ENSG00000071203	DNM1L	MS4A12	0	3	3	3		/2260_PR40968a_1
ENSG00000187720	15	+	71447271	71447227	ENSG00000163347	3	-	190026228	190026200	ENSG00000187720-ENSG00000163347	THSD4	CLDN1	0	3	3	3		/2260_PR40968a_1
ENSG00000028310	5	-	886707	886791	ENSG00000113504	5	-	1094363	1094361	ENSG00000028310-ENSG00000113504	BRD9	SLC12A7	0	3	3	3		/2260_PR40968a_1
ENSG00000152061	1	+	174190302	174190254	ENSG00000197959	1	+	172357713	172357713	ENSG00000152061-ENSG00000197959	RABGAP1L	DNM3	0	23	40	40		/2260_PR40969a_1
ENSG00000178928	19	-	48322229	48322287	ENSG00000136235	7	+	23306136	23306136	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	13	13	13		/2260_PR40969a_1
ENSG00000109861	11	-	88029327	88029395	ENSG00000123892	11	-	87908601	87908409	ENSG00000109861-ENSG00000123892	CTSC	RAB38	0	7	9	9		/2260_PR40969a_1
ENSG00000111371	12	-	46589508	46589799	ENSG00000196263	19	+	57037069	57037528	ENSG00000111371-ENSG00000196263	SLC38A1	ZNF471	0	6	6	6		/2260_PR40969a_1
ENSG00000126870	7	+	158734839	158734806	ENSG00000106554	7	-	132523229	132523227	ENSG00000126870-ENSG00000106554	WDR60	CHCHD3	0	6	6	6		/2260_PR40969a_1
ENSG00000105887	7	-	135661777	135661834	ENSG00000155093	7	-	157691429	157691428	ENSG00000105887-ENSG00000155093	MTPN	PTPRN2	0	6	6	6		/2260_PR40969a_1
ENSG00000101294	20	+	30135409	30135342	ENSG00000232119	X	+	119739262	119739343	ENSG00000101294-ENSG00000232119	HM13	MCTS1	0	4	4	4	cytosolic ribosomal subunit, ribonucleoprotein, 	/2260_PR40969a_1
ENSG00000162174	11	+	62150719	62150456	ENSG00000180694	8	-	91696258	91696206	ENSG00000162174-ENSG00000180694	ASRGL1	TMEM64	0	4	4	4		/2260_PR40969a_1
ENSG00000106554	7	-	132570422	132570491	ENSG00000106459	7	+	129311269	129311331	ENSG00000106554-ENSG00000106459	CHCHD3	NRF1	0	3	3	3		/2260_PR40969a_1
ENSG00000213799	19	+	53844575	53844494	ENSG00000197497	19	-	53686196	53686116	ENSG00000213799-ENSG00000197497	ZNF845	ZNF665	0	3	3	3		/2260_PR40969a_1
ENSG00000183066	22	+	42426827	42426805	ENSG00000112992	5	+	43609245	43609247	ENSG00000183066-ENSG00000112992	WBP2NL	NNT	0	51	72	53		/2260_PR40969d_1
ENSG00000149658	20	-	61845216	61845255	ENSG00000120526	8	-	110257710	110257708	ENSG00000149658-ENSG00000120526	YTHDF1	NUDCD1	0	36	47	46		/2260_PR40969d_1
ENSG00000103995	15	-	49088207	49088249	ENSG00000114744	3	-	149459505	149459502	ENSG00000103995-ENSG00000114744	CEP152	COMMD2	0	28	37	37		/2260_PR40969d_1
ENSG00000099942	22	+	21288532	21288472	ENSG00000150361	13	-	70275893	70275892	ENSG00000099942-ENSG00000150361	CRKL	KLHL1	0	24	30	30		/2260_PR40969d_1
ENSG00000113460	5	+	34918580	34918549	ENSG00000137764	15	+	67842372	67842375	ENSG00000113460-ENSG00000137764	BRIX1	MAP2K5	0	13	31	29.5		/2260_PR40969d_1
ENSG00000099917	22	+	20862022	20861971	ENSG00000113387	5	+	32599067	32599070	ENSG00000099917-ENSG00000113387	MED15	SUB1	0	19	29	28		/2260_PR40969d_1
ENSG00000151882	5	-	43388452	43388497	ENSG00000087460	20	+	57470667	57470667	ENSG00000151882-ENSG00000087460	CCL28	GNAS	0	18	20	19		/2260_PR40969d_1
ENSG00000261567	16	+	85391249	85391198	ENSG00000131149	16	+	85645015	85645137	ENSG00000261567-ENSG00000131149		GSE1	0	16	21	18		/2260_PR40969d_1
ENSG00000112992	5	+	43677908	43677865	ENSG00000243156	22	-	18314873	18314873	ENSG00000112992-ENSG00000243156	NNT	MICAL3	0	16	18	18		/2260_PR40969d_1
ENSG00000082996	3	+	149531813	149531740	ENSG00000090487	15	-	65262560	65262559	ENSG00000082996-ENSG00000090487	RNF13	SPG21	0	13	15	15		/2260_PR40969d_1
ENSG00000082068	5	+	37516692	37516649	ENSG00000164187	5	-	36108741	36108738	ENSG00000082068-ENSG00000164187	WDR70	LMBRD2	0	13	15	15		/2260_PR40969d_1
ENSG00000100345	22	-	36783852	36783883	ENSG00000100079	22	-	37975992	37975991	ENSG00000100345-ENSG00000100079	MYH9	LGALS2	0	12	15	14		/2260_PR40969d_1
ENSG00000129003	15	-	62270825	62270872	ENSG00000087495	20	+	58318162	58318167	ENSG00000129003-ENSG00000087495	VPS13C	PHACTR3	0	9	12	11		/2260_PR40969d_1
ENSG00000124164	20	+	57009761	57009727	ENSG00000171700	20	-	62708307	62708304	ENSG00000124164-ENSG00000171700	VAPB	RGS19	0	9	10	10		/2260_PR40969d_1
ENSG00000028528	15	+	64429131	64429082	ENSG00000113361	5	+	31267453	31267453	ENSG00000028528-ENSG00000113361	SNX1	CDH6	0	7	8	8		/2260_PR40969d_1
ENSG00000101158	20	+	57568730	57568774	ENSG00000125266	13	-	107148188	107148185	ENSG00000101158-ENSG00000125266	NELFCD	EFNB2	0	7	8	8		/2260_PR40969d_1
ENSG00000103657	15	-	64126026	64126071	ENSG00000047346	15	-	52970319	52970318	ENSG00000103657-ENSG00000047346	HERC1	FAM214A	0	6	8	8		/2260_PR40969d_1
ENSG00000164180	5	-	87501631	87501674	ENSG00000164199	5	+	90136395	90136401	ENSG00000164180-ENSG00000164199	TMEM161B	GPR98	0	6	8	8		/2260_PR40969d_1
ENSG00000061938	3	-	195622924	195622975	ENSG00000138617	15	-	65563410	65563409	ENSG00000061938-ENSG00000138617	TNK2	PARP16	0	6	8	7		/2260_PR40969d_1
ENSG00000149658	20	-	61845216	61845256	ENSG00000197818	20	+	48494518	48494520	ENSG00000149658-ENSG00000197818	YTHDF1	SLC9A8	0	3	4	4		/2260_PR40969d_1
ENSG00000148513	10	+	37441049	37440988	ENSG00000180777	18	+	14791400	14791400	ENSG00000148513-ENSG00000180777	ANKRD30A	ANKRD30B	3	0	3	3		/2260_PR40969d_1
ENSG00000092439	15	-	50868066	50868072	ENSG00000082996	3	+	149589816	149589817	ENSG00000092439-ENSG00000082996	TRPM7	RNF13	0	3	3	3		/2260_PR40969d_1
ENSG00000249459	17	-	18584064	18584087	ENSG00000118689	6	+	108882289	108882307	ENSG00000249459-ENSG00000118689	ZNF286B	FOXO3	0	3	3	3		/2260_PR40969d_1
ENSG00000132313	2	+	86433418	86433336	ENSG00000156110	10	+	76287518	76287539	ENSG00000132313-ENSG00000156110	MRPL35	ADK	0	3	3	3	mitochondrial translation, ribonucleoprotein, 	/2260_PR40969d_1
ENSG00000131100	22	-	18111369	18111437	ENSG00000150361	13	-	70293713	70293710	ENSG00000131100-ENSG00000150361	ATP6V1E1	KLHL1	0	3	3	3		/2260_PR40969d_1
ENSG00000008086	X	+	18582642	18582639	ENSG00000182287	X	-	15870647	15870644	ENSG00000008086-ENSG00000182287	CDKL5	AP1S2	0	45	60	60	NA	/2260_PR40970a_1
ENSG00000118197	1	-	200618202	200618233	ENSG00000185842	1	+	225495987	225495987	ENSG00000118197-ENSG00000185842	DDX59	DNAH14	0	41	51	51	NA	/2260_PR40970a_1
ENSG00000182287	X	-	15849566	15849608	ENSG00000008086	X	+	18525055	18525056	ENSG00000182287-ENSG00000008086	AP1S2	CDKL5	0	38	50	50	NA	/2260_PR40970a_1
ENSG00000137478	11	-	72794740	72794784	ENSG00000054965	11	-	73179537	73179535	ENSG00000137478-ENSG00000054965	FCHSD2	FAM168A	0	36	46	46	NA	/2260_PR40970a_1
ENSG00000124006	2	-	220429964	220430068	ENSG00000116117	2	+	206418048	206418050	ENSG00000124006-ENSG00000116117	OBSL1	PARD3B	0	9	22	22	NA	/2260_PR40970a_1
ENSG00000173482	18	+	8143776	8143730	ENSG00000198589	4	-	151850217	151850215	ENSG00000173482-ENSG00000198589	PTPRM	LRBA	0	13	17	17	NA	/2260_PR40970a_1
ENSG00000085563	7	-	87229433	87229433	ENSG00000005471	7	-	87041349	87041209	ENSG00000085563-ENSG00000005471	ABCB1	ABCB4	5	0	17	16	NA	/2260_PR40970a_1
ENSG00000085563	7	-	87229433	87229433	ENSG00000005471	7	-	87043033	87042933	ENSG00000085563-ENSG00000005471	ABCB1	ABCB4	5	0	17	13	NA	/2260_PR40970a_1
ENSG00000159063	11	-	77849756	77849808	ENSG00000110237	11	+	73073085	73073088	ENSG00000159063-ENSG00000110237	ALG8	ARHGEF17	0	10	10	10	NA	/2260_PR40970a_1
ENSG00000203727	6	+	147830523	147830473	ENSG00000111961	6	+	148711270	148711272	ENSG00000203727-ENSG00000111961	SAMD5	SASH1	0	7	9	9	NA	/2260_PR40970a_1
ENSG00000149503	11	+	61898062	61897965	ENSG00000178795	11	-	76956547	76956456	ENSG00000149503-ENSG00000178795	INCENP	GDPD4	0	7	9	9	NA	/2260_PR40970a_1
ENSG00000081721	1	+	161719878	161719879	ENSG00000113448	5	-	58511794	58511793	ENSG00000081721-ENSG00000113448	DUSP12	PDE4D	0	5	14	8	NA	/2260_PR40970a_1
ENSG00000143190	1	+	167190195	167190148	ENSG00000154380	1	-	225688772	225688772	ENSG00000143190-ENSG00000154380	POU2F1	ENAH	0	6	8	8	NA	/2260_PR40970a_1
ENSG00000077514	11	+	74347320	74347271	ENSG00000166439	11	+	74500671	74500672	ENSG00000077514-ENSG00000166439	POLD3	RNF169	0	3	7	7	NA	/2260_PR40970a_1
ENSG00000261567	16	+	85391249	85391204	ENSG00000131149	16	+	85667520	85667521	ENSG00000261567-ENSG00000131149		GSE1	0	5	7	6	NA	/2260_PR40970a_1
ENSG00000145348	4	-	107134773	107134714	ENSG00000132912	5	-	150122721	150122603	ENSG00000145348-ENSG00000132912	TBCK	DCTN4	0	3	3	3	NA	/2260_PR40970a_1
ENSG00000164265	5	+	147251884	147251661	ENSG00000094755	5	+	170191918	170192133	ENSG00000164265-ENSG00000094755	SCGB3A2	GABRP	0	3	3	3	NA	/2260_PR40970a_1
ENSG00000109861	11	-	88033698	88033787	ENSG00000123892	11	-	87908601	87908406	ENSG00000109861-ENSG00000123892	CTSC	RAB38	0	2	3	3	NA	/2260_PR40970a_1
ENSG00000137497	11	-	71752005	71752045	ENSG00000185774	4	-	20736358	20736358	ENSG00000137497-ENSG00000185774	NUMA1	KCNIP4	0	161	246	166		/2260_PR40971a_1
ENSG00000137522	11	+	71671937	71671911	ENSG00000165457	11	+	71929605	71929607	ENSG00000137522-ENSG00000165457	RNF121	FOLR2	0	78	111	106		/2260_PR40971a_1
ENSG00000078295	5	+	7626429	7626398	ENSG00000187240	11	+	103178450	103178451	ENSG00000078295-ENSG00000187240	ADCY2	DYNC2H1	0	48	70	70		/2260_PR40971a_1
ENSG00000106443	7	+	11062606	11062568	ENSG00000106049	7	-	27578036	27578035	ENSG00000106443-ENSG00000106049	PHF14	HIBADH	0	38	50	50		/2260_PR40971a_1
ENSG00000214517	11	+	73882567	73882528	ENSG00000128604	7	+	128577666	128577787	ENSG00000214517-ENSG00000128604	PPME1	IRF5	0	18	43	42		/2260_PR40971a_1
ENSG00000172493	4	+	87968746	87968712	ENSG00000109819	4	-	23886554	23886554	ENSG00000172493-ENSG00000109819	AFF1	PPARGC1A	0	28	43	37	ribonucleoprotein, 	/2260_PR40971a_1
ENSG00000168014	11	-	73872479	73872498	ENSG00000110066	11	-	67957619	67957618	ENSG00000168014-ENSG00000110066	C2CD3	SUV420H1	0	33	35	34		/2260_PR40971a_1
ENSG00000131969	14	+	51360282	51360117	ENSG00000172890	11	+	71216614	71216629	ENSG00000131969-ENSG00000172890	ABHD12B	NADSYN1	0	31	31	31		/2260_PR40971a_1
ENSG00000164916	7	+	4722499	4722466	ENSG00000002822	7	-	2262389	2262386	ENSG00000164916-ENSG00000002822	FOXK1	MAD1L1	0	22	31	30		/2260_PR40971a_1
ENSG00000166439	11	+	74521375	74521347	ENSG00000145147	4	+	20482339	20482341	ENSG00000166439-ENSG00000145147	RNF169	SLIT2	0	16	30	30		/2260_PR40971a_1
ENSG00000146535	7	-	2883487	2883526	ENSG00000198517	7	+	1578785	1578786	ENSG00000146535-ENSG00000198517	GNA12	MAFK	0	17	28	28		/2260_PR40971a_1
ENSG00000178928	19	-	48322229	48322277	ENSG00000136235	7	+	23306100	23306101	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	28	28	27.3333333333333		/2260_PR40971a_1
ENSG00000086232	7	-	6077055	6077083	ENSG00000008256	7	-	6205441	6205425	ENSG00000086232-ENSG00000008256	EIF2AK1	CYTH3	0	20	24	22		/2260_PR40971a_1
ENSG00000150672	11	-	83435899	83435953	ENSG00000152582	5	+	35771711	35771713	ENSG00000150672-ENSG00000152582	DLG2	SPEF2	0	11	15	12		/2260_PR40971a_1
ENSG00000152767	13	+	98865667	98865639	ENSG00000185352	13	+	97484744	97484745	ENSG00000152767-ENSG00000185352	FARP1	HS6ST3	0	11	11	11		/2260_PR40971a_1
ENSG00000068878	2	-	54175558	54175604	ENSG00000152582	5	+	35806809	35806812	ENSG00000068878-ENSG00000152582	PSME4	SPEF2	0	5	10	10		/2260_PR40971a_1
ENSG00000187240	11	+	103187349	103187319	ENSG00000128591	7	+	128484712	128485240	ENSG00000187240-ENSG00000128591	DYNC2H1	FLNC	0	7	8	8		/2260_PR40971a_1
ENSG00000068912	2	+	54014509	54014463	ENSG00000154162	5	-	22505473	22505471	ENSG00000068912-ENSG00000154162	ERLEC1	CDH12	0	5	7	7		/2260_PR40971a_1
ENSG00000063438	5	+	354026	353979	ENSG00000198517	7	+	1578785	1578786	ENSG00000063438-ENSG00000198517	AHRR	MAFK	0	5	7	7		/2260_PR40971a_1
ENSG00000150672	11	-	85309701	85309736	ENSG00000149269	11	-	77070062	77070060	ENSG00000150672-ENSG00000149269	DLG2	PAK1	0	4	7	7		/2260_PR40971a_1
ENSG00000166266	11	+	107925682	107925628	ENSG00000077616	11	+	89882174	89882177	ENSG00000166266-ENSG00000077616	CUL5	NAALAD2	0	6	6	6		/2260_PR40971a_1
ENSG00000152582	5	+	35800249	35800206	ENSG00000068878	2	-	54176420	54176417	ENSG00000152582-ENSG00000068878	SPEF2	PSME4	0	6	6	6		/2260_PR40971a_1
ENSG00000042445	2	-	85573098	85573149	ENSG00000168878	2	-	85894929	85894927	ENSG00000042445-ENSG00000168878	RETSAT	SFTPB	0	5	6	6		/2260_PR40971a_1
ENSG00000087053	11	-	95657039	95657107	ENSG00000131620	11	+	70031696	70031696	ENSG00000087053-ENSG00000131620	MTMR2	ANO1	0	5	6	6		/2260_PR40971a_1
ENSG00000178585	1	-	9937963	9938005	ENSG00000164366	5	-	206073	206070	ENSG00000178585-ENSG00000164366	CTNNBIP1	CCDC127	0	5	5	5		/2260_PR40971a_1
ENSG00000187240	11	+	103157115	103157059	ENSG00000028116	2	+	58366801	58366812	ENSG00000187240-ENSG00000028116	DYNC2H1	VRK2	0	5	5	5		/2260_PR40971a_1
ENSG00000152404	11	-	107205607	107205656	ENSG00000166266	11	+	107940823	107940826	ENSG00000152404-ENSG00000166266	CWF19L2	CUL5	0	4	4	4		/2260_PR40971a_1
ENSG00000109861	11	-	88033698	88033751	ENSG00000123892	11	-	87908601	87908406	ENSG00000109861-ENSG00000123892	CTSC	RAB38	0	3	4	4		/2260_PR40971a_1
ENSG00000180998	14	+	53100664	53100634	ENSG00000069869	15	-	56280199	56280199	ENSG00000180998-ENSG00000069869	GPR137C	NEDD4	0	3	3	3		/2260_PR40971a_1
ENSG00000037749	5	+	153529500	153529440	ENSG00000164574	5	+	153674376	153674420	ENSG00000037749-ENSG00000164574	MFAP3	GALNT10	0	2	3	3		/2260_PR40971a_1
ENSG00000137497	11	-	71752005	71752056	ENSG00000185774	4	-	20736358	20736358	ENSG00000137497-ENSG00000185774	NUMA1	KCNIP4	0	49	80	58		/2260_PR40971d_1
ENSG00000078295	5	+	7626429	7626390	ENSG00000187240	11	+	103178450	103178451	ENSG00000078295-ENSG00000187240	ADCY2	DYNC2H1	0	26	37	37		/2260_PR40971d_1
ENSG00000106443	7	+	11062606	11062562	ENSG00000106049	7	-	27578036	27578035	ENSG00000106443-ENSG00000106049	PHF14	HIBADH	0	23	34	32		/2260_PR40971d_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306100	23306101	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	22	22	22		/2260_PR40971d_1
ENSG00000137522	11	+	71671937	71671896	ENSG00000165457	11	+	71929617	71929621	ENSG00000137522-ENSG00000165457	RNF121	FOLR2	0	16	24	19		/2260_PR40971d_1
ENSG00000172493	4	+	87968746	87968696	ENSG00000109819	4	-	23886554	23886554	ENSG00000172493-ENSG00000109819	AFF1	PPARGC1A	0	8	19	16	ribonucleoprotein, 	/2260_PR40971d_1
ENSG00000086232	7	-	6077055	6077094	ENSG00000008256	7	-	6205441	6205425	ENSG00000086232-ENSG00000008256	EIF2AK1	CYTH3	0	10	13	13		/2260_PR40971d_1
ENSG00000146535	7	-	2883487	2883533	ENSG00000198517	7	+	1578785	1578786	ENSG00000146535-ENSG00000198517	GNA12	MAFK	0	10	12	12		/2260_PR40971d_1
ENSG00000106537	7	+	16793655	16793606	ENSG00000042429	11	+	93517577	93517797	ENSG00000106537-ENSG00000042429	TSPAN13	MED17	0	6	8	7		/2260_PR40971d_1
ENSG00000166439	11	+	74521375	74521310	ENSG00000145147	4	+	20482339	20482341	ENSG00000166439-ENSG00000145147	RNF169	SLIT2	0	5	7	7		/2260_PR40971d_1
ENSG00000168014	11	-	73872479	73872502	ENSG00000110066	11	-	67957619	67957614	ENSG00000168014-ENSG00000110066	C2CD3	SUV420H1	0	6	7	7		/2260_PR40971d_1
ENSG00000150672	11	-	83497733	83497765	ENSG00000152582	5	+	35771711	35771761	ENSG00000150672-ENSG00000152582	DLG2	SPEF2	0	4	8	6		/2260_PR40971d_1
ENSG00000178585	1	-	9937963	9938015	ENSG00000164366	5	-	206073	206070	ENSG00000178585-ENSG00000164366	CTNNBIP1	CCDC127	0	5	5	5		/2260_PR40971d_1
ENSG00000187240	11	+	103187349	103187313	ENSG00000128591	7	+	128484712	128485240	ENSG00000187240-ENSG00000128591	DYNC2H1	FLNC	0	4	5	5		/2260_PR40971d_1
ENSG00000087053	11	-	95657039	95657080	ENSG00000131620	11	+	70031696	70031696	ENSG00000087053-ENSG00000131620	MTMR2	ANO1	0	4	4	4		/2260_PR40971d_1
ENSG00000077498	11	+	88924586	88924555	ENSG00000119950	10	+	111987947	111987948	ENSG00000077498-ENSG00000119950	TYR	MXI1	0	3	4	4		/2260_PR40971d_1
ENSG00000099942	22	+	21288532	21288502	ENSG00000150361	13	-	70275893	70275892	ENSG00000099942-ENSG00000150361	CRKL	KLHL1	0	80	100	100		/2260_PR40972a_1
ENSG00000183066	22	+	42426827	42426799	ENSG00000112992	5	+	43609245	43609247	ENSG00000183066-ENSG00000112992	WBP2NL	NNT	0	32	56	37		/2260_PR40972a_1
ENSG00000102804	13	-	45113903	45113944	ENSG00000113100	5	-	26906947	26906944	ENSG00000102804-ENSG00000113100	TSC22D1	CDH9	0	25	35	31		/2260_PR40972a_1
ENSG00000099917	22	+	20862022	20861992	ENSG00000113387	5	+	32599067	32599070	ENSG00000099917-ENSG00000113387	MED15	SUB1	0	15	29	29		/2260_PR40972a_1
ENSG00000113460	5	+	34918580	34918530	ENSG00000137764	15	+	67842372	67842372	ENSG00000113460-ENSG00000137764	BRIX1	MAP2K5	0	12	27	27		/2260_PR40972a_1
ENSG00000112992	5	+	43677908	43677879	ENSG00000243156	22	-	18314873	18314873	ENSG00000112992-ENSG00000243156	NNT	MICAL3	0	19	24	24		/2260_PR40972a_1
ENSG00000103995	15	-	49088207	49088251	ENSG00000114744	3	-	149459505	149459502	ENSG00000103995-ENSG00000114744	CEP152	COMMD2	0	17	21	21		/2260_PR40972a_1
ENSG00000124164	20	+	57009761	57009717	ENSG00000171700	20	-	62708307	62708304	ENSG00000124164-ENSG00000171700	VAPB	RGS19	0	12	13	13		/2260_PR40972a_1
ENSG00000112992	5	+	43628489	43628432	ENSG00000183066	22	+	42425943	42425943	ENSG00000112992-ENSG00000183066	NNT	WBP2NL	0	10	12	12		/2260_PR40972a_1
ENSG00000082068	5	+	37516692	37516650	ENSG00000164187	5	-	36108741	36108738	ENSG00000082068-ENSG00000164187	WDR70	LMBRD2	0	9	11	11		/2260_PR40972a_1
ENSG00000133424	22	-	34157358	34157404	ENSG00000174444	15	-	66795867	66795865	ENSG00000133424-ENSG00000174444	LARGE	RPL4	0	5	10	10	cytosolic ribosomal subunit, ribonucleoprotein, 	/2260_PR40972a_1
ENSG00000129003	15	-	62270825	62270886	ENSG00000087495	20	+	58318162	58318162	ENSG00000129003-ENSG00000087495	VPS13C	PHACTR3	0	6	12	9		/2260_PR40972a_1
ENSG00000129003	15	-	62336411	62336419	ENSG00000151575	15	+	56665639	56665641	ENSG00000129003-ENSG00000151575	VPS13C	TEX9	0	7	9	8		/2260_PR40972a_1
ENSG00000028528	15	+	64429131	64429087	ENSG00000113361	5	+	31267453	31267454	ENSG00000028528-ENSG00000113361	SNX1	CDH6	0	4	7	7		/2260_PR40972a_1
ENSG00000092439	15	-	50867921	50867967	ENSG00000082996	3	+	149589816	149589817	ENSG00000092439-ENSG00000082996	TRPM7	RNF13	0	6	6	6		/2260_PR40972a_1
ENSG00000099917	22	+	20862022	20861992	ENSG00000039560	5	+	34757573	34757575	ENSG00000099917-ENSG00000039560	MED15	RAI14	0	5	6	6		/2260_PR40972a_1
ENSG00000112972	5	-	43313458	43313479	ENSG00000197603	5	-	37213834	37213834	ENSG00000112972-ENSG00000197603	HMGCS1	C5orf42	0	5	6	6		/2260_PR40972a_1
ENSG00000137764	15	+	67855688	67855676	ENSG00000113460	5	+	34918469	34918476	ENSG00000137764-ENSG00000113460	MAP2K5	BRIX1	0	3	6	6		/2260_PR40972a_1
ENSG00000164199	5	+	90281339	90281288	ENSG00000164180	5	-	87502997	87502995	ENSG00000164199-ENSG00000164180	GPR98	TMEM161B	0	4	5	5		/2260_PR40972a_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306136	23306127	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	4	4	4		/2260_PR40972a_1
ENSG00000103657	15	-	64126026	64126095	ENSG00000047346	15	-	52970319	52970316	ENSG00000103657-ENSG00000047346	HERC1	FAM214A	0	4	4	4		/2260_PR40972a_1
ENSG00000094755	5	+	170191434	170191392	ENSG00000164265	5	+	147251061	147251069	ENSG00000094755-ENSG00000164265	GABRP	SCGB3A2	0	4	4	4		/2260_PR40972a_1
ENSG00000153071	5	-	39388407	39388452	ENSG00000165476	10	+	65326098	65326101	ENSG00000153071-ENSG00000165476	DAB2	REEP3	0	2	3	3		/2260_PR40972a_1
ENSG00000187955	8	+	121180486	121180418	ENSG00000197535	15	-	52638658	52638658	ENSG00000187955-ENSG00000197535	COL14A1	MYO5A	0	2	3	3		/2260_PR40972a_1
ENSG00000196678	16	-	20817332	20817226	ENSG00000083828	19	+	58310604	58310606	ENSG00000196678-ENSG00000083828	ERI2	ZNF586	0	11	15	15	NA	/2260_PR40973a_1
ENSG00000131969	14	+	51360282	51360071	ENSG00000172890	11	+	71216614	71216780	ENSG00000131969-ENSG00000172890	ABHD12B	NADSYN1	0	8	8	8	NA	/2260_PR40973a_1
ENSG00000225119	10	+	38734535	38734383	ENSG00000203880	20	+	62919032	62919154	ENSG00000225119-ENSG00000203880	LINC00999	PCMTD2	0	2	4	4	NA	/2260_PR40973a_1
ENSG00000164411	6	-	88038856	88038973	ENSG00000165105	9	-	85670598	85670345	ENSG00000164411-ENSG00000165105	GJB7	RASEF	0	12	12	12	NA	/2260_PR40974a_1
ENSG00000113384	5	-	32135678	32135710	ENSG00000198382	11	+	75715049	75715051	ENSG00000113384-ENSG00000198382	GOLPH3	UVRAG	0	137	163	163	NA	/2260_PR40976a_1
ENSG00000198382	11	+	75728024	75727997	ENSG00000113384	5	-	32143986	32143985	ENSG00000198382-ENSG00000113384	UVRAG	GOLPH3	0	42	54	54	NA	/2260_PR40976a_1
ENSG00000198382	11	+	75728024	75727972	ENSG00000151365	11	+	77778705	77778708	ENSG00000198382-ENSG00000151365	UVRAG	THRSP	0	26	37	37	NA	/2260_PR40976a_1
ENSG00000082213	5	+	31545819	31545775	ENSG00000180773	11	-	92887443	92887443	ENSG00000082213-ENSG00000180773	C5orf22	SLC36A4	0	23	26	26	NA	/2260_PR40976a_1
ENSG00000108557	17	+	17627473	17627428	ENSG00000006740	17	+	12859184	12859185	ENSG00000108557-ENSG00000006740	RAI1	ARHGAP44	0	17	21	21	NA	/2260_PR40976a_1
ENSG00000261567	16	+	85391249	85391203	ENSG00000131149	16	+	85667520	85667521	ENSG00000261567-ENSG00000131149		GSE1	0	16	16	16	NA	/2260_PR40976a_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306136	23306136	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	7	7	7	NA	/2260_PR40976a_1
