X.FusionName	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	Sample
GPR75-ASB3--C11orf70	103	22	103	8.24	ONLY_REF_SPLICE	GPR75-ASB3^ENSG00000115239.17	chr2:53977920:-	C11orf70^ENSG00000137691.8	chr11:101929611:+	YES_LDAS	1.72	GT	1.8295	AG	1.8892	[INTERCHROMOSOMAL[chr2--chr11]]	2260_PR40971a_1
TRA2A--SDHAP3	102	17	101.66	16.98	ONLY_REF_SPLICE	TRA2A^ENSG00000164548.6	chr7:23571408:-	SDHAP3^ENSG00000185986.10	chr5:1593399:-	YES_LDAS	1.8345	GT	1.9086	AG	1.8892	[INTERCHROMOSOMAL[chr7--chr5]]	2260_PR40971a_1
RNF216P1--IGF2BP3	64	9	64	8.8	ONLY_REF_SPLICE	RNF216P1^ENSG00000196204.7	chr7:5024706:+	IGF2BP3^ENSG00000136231.9	chr7:23381808:-	YES_LDAS	1.1257	GT	1.7819	AG	1.8256	[INTRACHROMOSOMAL[chr7:18.27Mb]]	2260_PR40971a_1
ADCY2--DYNC2H1	57	11	57	11	ONLY_REF_SPLICE	ADCY2^ENSG00000078295.11	chr5:7626429:+	DYNC2H1^ENSG00000187240.9	chr11:103178450:+	YES_LDAS	1.0515	GT	1.6729	AG	1.8323	[INTERCHROMOSOMAL[chr5--chr11]]	2260_PR40971a_1
GPNMB--ETV1	57	35	57	35	ONLY_REF_SPLICE	GPNMB^ENSG00000136235.11	chr7:23286546:+	ETV1^ENSG00000006468.9	chr7:14028764:-	YES_LDAS	1.4226	GT	1.9656	AG	1.9329	[INTRACHROMOSOMAL[chr7:9.24Mb]]	2260_PR40971a_1
PPME1--IRF5	56	2	56	2	ONLY_REF_SPLICE	PPME1^ENSG00000214517.4	chr11:73882567:+	IRF5^ENSG00000128604.14	chr7:128582125:+	YES_LDAS	0.8968	GT	1.8323	AG	1.8295	[INTERCHROMOSOMAL[chr11--chr7]]	2260_PR40971a_1
TCEB3--RNF34	55	6	55	6	INCL_NON_REF_SPLICE	TCEB3^ENSG00000011007.8	chr1:24070068:+	RNF34^ENSG00000170633.12	chr12:121868100:+	YES_LDAS	0.9432	GT	1.8256	AG	1.6402	[INTERCHROMOSOMAL[chr1--chr12]]	2260_PR40971a_1
AFF1--PPARGC1A	37	14	37	14	ONLY_REF_SPLICE	AFF1^ENSG00000172493.16	chr4:87968746:+	PPARGC1A^ENSG00000109819.4	chr4:23886554:-	YES_LDAS	0.7886	GT	1.9656	AG	1.5058	[INTRACHROMOSOMAL[chr4:63.95Mb]]	2260_PR40971a_1
PHF14--HIBADH	37	17	37	17	ONLY_REF_SPLICE	PHF14^ENSG00000106443.10	chr7:11062606:+	HIBADH^ENSG00000106049.4	chr7:27578036:-	YES_LDAS	0.835	GT	1.8892	AG	1.9329	[INTRACHROMOSOMAL[chr7:16.36Mb]]	2260_PR40971a_1
TMEM123--RP11-155G14.5	33	4	32.97	4	ONLY_REF_SPLICE	TMEM123^ENSG00000152558.10	chr11:102319543:-	RP11-155G14.5^ENSG00000272601.1	chr7:128106617:+	YES_LDAS	0.5717	GT	1.9656	AG	1.7968	[INTERCHROMOSOMAL[chr11--chr7]]	2260_PR40971a_1
RNF169--SLIT2	29	6	29	6	ONLY_REF_SPLICE	RNF169^ENSG00000166439.5	chr11:74521375:+	SLIT2^ENSG00000145147.15	chr4:20482339:+	YES_LDAS	0.5412	GT	1.9219	AG	1.9219	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971a_1
FOXK1--MAD1L1	27	14	27	13.93	ONLY_REF_SPLICE	FOXK1^ENSG00000164916.9	chr7:4722499:+	MAD1L1^ENSG00000002822.11	chr7:2262389:-	YES_LDAS	0.6329	GT	1.8062	AG	1.8323	[INTRACHROMOSOMAL[chr7:2.41Mb]]	2260_PR40971a_1
GNA12--MAFK	26	3	26	3	ONLY_REF_SPLICE	GNA12^ENSG00000146535.9	chr7:2883487:-	MAFK^ENSG00000198517.5	chr7:1578785:+	YES_LDAS	0.4484	GT	1.8323	AG	1.9656	[INTRACHROMOSOMAL[chr7:1.19Mb]]	2260_PR40971a_1
MTMR12--RP11-164N3.1	26	12	26	12	ONLY_REF_SPLICE	MTMR12^ENSG00000150712.6	chr5:32312864:-	RP11-164N3.1^ENSG00000255516.1	chr11:87783274:+	YES_LDAS	0.5876	GT	1.9656	AG	1.9656	[INTERCHROMOSOMAL[chr5--chr11]]	2260_PR40971a_1
TRA2A--RP11-43F13.1	25	6	25	6	ONLY_REF_SPLICE	TRA2A^ENSG00000164548.6	chr7:23571408:-	RP11-43F13.1^ENSG00000188002.6	chr5:1599384:-	YES_LDAS	0.4794	GT	1.9086	AG	1.8256	[INTERCHROMOSOMAL[chr7--chr5]]	2260_PR40971a_1
GPR75-ASB3--CUL5	25	11	25	10.7	ONLY_REF_SPLICE	GPR75-ASB3^ENSG00000115239.17	chr2:53955849:-	CUL5^ENSG00000166266.9	chr11:107923387:+	YES_LDAS	0.552	GT	1.8295	AG	1.8892	[INTERCHROMOSOMAL[chr2--chr11]]	2260_PR40971a_1
NUMA1--KCNIP4	24	64	24	35.89	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71752005:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.9261	GT	1.8323	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971a_1
ANAPC5--DYNC2H1	21	5	21	5	ONLY_REF_SPLICE	ANAPC5^ENSG00000089053.8	chr12:121783642:-	DYNC2H1^ENSG00000187240.9	chr11:103270391:+	YES_LDAS	0.402	GT	1.8062	AG	1.4566	[INTERCHROMOSOMAL[chr12--chr11]]	2260_PR40971a_1
EIF2AK1--CYTH3	20	2	20	1.25	ONLY_REF_SPLICE	EIF2AK1^ENSG00000086232.8	chr7:6077055:-	CYTH3^ENSG00000008256.11	chr7:6205058:-	YES_LDAS	0.3286	GT	1.9329	AG	1.9219	[INTRACHROMOSOMAL[chr7:0.10Mb]]	2260_PR40971a_1
NUMA1--KCNIP4	20	46	20	8.52	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71752474:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.441	GT	1.9086	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971a_1
RP1-34H18.1--NAV3	19	0	19	0	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.2938	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40971a_1
DLG2--SPEF2	18	4	18	4	ONLY_REF_SPLICE	DLG2^ENSG00000150672.12	chr11:83497733:-	SPEF2^ENSG00000152582.8	chr5:35771711:+	YES_LDAS	0.3402	GT	1.8295	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr5]]	2260_PR40971a_1
TIMM23--PARGP1	18	11	9	5.5	ONLY_REF_SPLICE	TIMM23^ENSG00000138297.9	chr10:51606988:-	PARGP1^ENSG00000214982.6	chr10:51732772:+	YES_LDAS	0.2242	GT	1.7819	AG	1.9086	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr10:0.00Mb],LOCAL_INVERSION:-:+:[52]]	2260_PR40971a_1
ADCY8--GRSF1	17	0	17	0	INCL_NON_REF_SPLICE	ADCY8^ENSG00000155897.5	chr8:131859753:-	GRSF1^ENSG00000132463.9	chr4:71698967:-	YES_LDAS	0.2629	GT	1.9329	AG	1.7056	[INTERCHROMOSOMAL[chr8--chr4]]	2260_PR40971a_1
TSPAN13--MED17	16	0	16	0	ONLY_REF_SPLICE	TSPAN13^ENSG00000106537.7	chr7:16793655:+	MED17^ENSG00000042429.6	chr11:93521167:+	YES_LDAS	0.2474	GT	1.8062	AG	1.8256	[INTERCHROMOSOMAL[chr7--chr11]]	2260_PR40971a_1
TULP4--RP11-732M18.3	16	1	16	1	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.2629	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40971a_1
C2CD3--SUV420H1	16	10	16	8.83	ONLY_REF_SPLICE	C2CD3^ENSG00000168014.12	chr11:73879389:-	SUV420H1^ENSG00000110066.10	chr11:67957619:-	YES_LDAS	0.3839	GT	1.8256	AG	1.6402	[INTRACHROMOSOMAL[chr11:5.74Mb]]	2260_PR40971a_1
NUMA1--KCNIP4	16	33	16	2.86	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71779151:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.2916	GT	1.8892	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971a_1
C5orf55--FGF10	12	3	12	3	INCL_NON_REF_SPLICE	C5orf55^ENSG00000221990.2	chr5:442495:-	FGF10^ENSG00000070193.4	chr5:44310632:-	YES_LDAS	0.232	GT	1.9086	AG	1.9656	[INTRACHROMOSOMAL[chr5:43.86Mb]]	2260_PR40971a_1
STEAP1--RAPGEF5	11	2	5.5	1	ONLY_REF_SPLICE	STEAP1^ENSG00000164647.4	chr7:89791392:+	RAPGEF5^ENSG00000136237.14	chr7:22357656:-	YES_LDAS	0.1005	GT	1.7465	AG	1.8295	[CCLE_StarF2019,INTRACHROMOSOMAL[chr7:67.39Mb]]	2260_PR40971a_1
DLG2--PAK1	11	2	11	2	ONLY_REF_SPLICE	DLG2^ENSG00000150672.12	chr11:85309701:-	PAK1^ENSG00000149269.5	chr11:77070062:-	YES_LDAS	0.201	GT	1.9656	AG	1.8062	[INTRACHROMOSOMAL[chr11:5.98Mb]]	2260_PR40971a_1
OTUD7B--CTSS	10	2	10	2	ONLY_REF_SPLICE	OTUD7B^ENSG00000163113.10	chr1:149931603:-	CTSS^ENSG00000163131.6	chr1:150705621:-	YES_LDAS	0.1855	GT	1.9219	AG	1.9656	[DEEPEST2019,TumorFusionsNAR2018,ChimerSeq,INTRACHROMOSOMAL[chr1:0.72Mb]]	2260_PR40971a_1
HDAC9--AC004535.2	9	2	9	2	ONLY_REF_SPLICE	HDAC9^ENSG00000048052.17	chr7:18625145:+	AC004535.2^ENSG00000236414.1	chr7:10746686:+	YES_LDAS	0.1701	GT	1.8892	AG	1.3996	[INTRACHROMOSOMAL[chr7:7.38Mb]]	2260_PR40971a_1
TRIO--ZDHHC11	9	3	9	3	ONLY_REF_SPLICE	TRIO^ENSG00000038382.13	chr5:14143991:+	ZDHHC11^ENSG00000188818.8	chr5:801279:-	YES_LDAS	0.1856	GT	1.6895	AG	1.7465	[INTRACHROMOSOMAL[chr5:13.29Mb]]	2260_PR40971a_1
AFF1--AP000439.5	9	3	9	3	ONLY_REF_SPLICE	AFF1^ENSG00000172493.16	chr4:87869723:+	AP000439.5^ENSG00000261347.1	chr11:69283966:+	YES_LDAS	0.1856	GT	1.8256	AG	1.6729	[INTERCHROMOSOMAL[chr4--chr11]]	2260_PR40971a_1
CTNNBIP1--CCDC127	8	1	8	1	ONLY_REF_SPLICE	CTNNBIP1^ENSG00000178585.10	chr1:9937963:-	CCDC127^ENSG00000164366.3	chr5:206073:-	YES_LDAS	0.1392	GT	1.9219	AG	1.6895	[INTERCHROMOSOMAL[chr1--chr5]]	2260_PR40971a_1
RNF216P1--IGF2BP3	8	2	8	0.2	ONLY_REF_SPLICE	RNF216P1^ENSG00000196204.7	chr7:5024706:+	IGF2BP3^ENSG00000136231.9	chr7:23358873:-	YES_LDAS	0.1268	GT	1.7819	AG	1.7465	[INTRACHROMOSOMAL[chr7:18.27Mb]]	2260_PR40971a_1
HLA-S--HLA-A	7	0	7	0	ONLY_REF_SPLICE	HLA-S^ENSG00000225851.1	chr6:31350018:-	HLA-A^ENSG00000206503.7	chr6:29913228:+	YES_LDAS	0.1082	GT	1.9656	AG	1.9656	[GTEx_recurrent_StarF2019,HGNC_GENEFAM,INTRACHROMOSOMAL[chr6:1.44Mb]]	2260_PR40971a_1
AHRR--MAFK	7	0	7	0	ONLY_REF_SPLICE	AHRR^ENSG00000063438.12	chr5:354026:+	MAFK^ENSG00000198517.5	chr7:1578785:+	YES_LDAS	0.1082	GT	1.9899	AG	1.9656	[INTERCHROMOSOMAL[chr5--chr7]]	2260_PR40971a_1
MTMR2--ANO1	7	1	7	1	ONLY_REF_SPLICE	MTMR2^ENSG00000087053.14	chr11:95657039:-	ANO1^ENSG00000131620.13	chr11:70031696:+	YES_LDAS	0.1237	GT	1.9329	AG	1.9219	[INTRACHROMOSOMAL[chr11:25.53Mb]]	2260_PR40971a_1
RP11-712B9.2--AMOTL1	6	1	6	1	ONLY_REF_SPLICE	RP11-712B9.2^ENSG00000245552.2	chr11:94890967:+	AMOTL1^ENSG00000166025.13	chr11:94554696:+	YES_LDAS	0.1083	GT	1.8062	AG	1.7232	[INTRACHROMOSOMAL[chr11:0.27Mb]]	2260_PR40971a_1
RP11-274B21.1--CTD-2023M8.1	6	1	6	1	ONLY_REF_SPLICE	RP11-274B21.1^ENSG00000242588.2	chr7:128173784:+	CTD-2023M8.1^ENSG00000248693.1	chr5:18704603:-	YES_LDAS	0.1083	GT	1.5656	AG	1.7465	[INTERCHROMOSOMAL[chr7--chr5]]	2260_PR40971a_1
ERLEC1--CDH12	6	1	6	1	ONLY_REF_SPLICE	ERLEC1^ENSG00000068912.9	chr2:54014509:+	CDH12^ENSG00000154162.9	chr5:22505473:-	YES_LDAS	0.1083	GT	1.9086	AG	1.8062	[INTERCHROMOSOMAL[chr2--chr5]]	2260_PR40971a_1
CUL5--AC091801.1	6	1	6	1	ONLY_REF_SPLICE	CUL5^ENSG00000166266.9	chr11:107960350:+	AC091801.1^ENSG00000217455.4	chr7:3197888:-	YES_LDAS	0.1083	GT	1.7819	AG	1.8295	[INTERCHROMOSOMAL[chr11--chr7]]	2260_PR40971a_1
SPEF2--PSME4	6	3	6	3	ONLY_REF_SPLICE	SPEF2^ENSG00000152582.8	chr5:35800249:+	PSME4^ENSG00000068878.10	chr2:54176420:-	YES_LDAS	0.1392	GT	1.7465	AG	1.6895	[INTERCHROMOSOMAL[chr5--chr2]]	2260_PR40971a_1
RBAK--SNX8	6	3	6	3	ONLY_REF_SPLICE	RBAK^ENSG00000146587.13	chr7:5086027:+	SNX8^ENSG00000106266.4	chr7:2317940:-	YES_LDAS	0.1392	GT	1.5656	AG	1.7232	[INTRACHROMOSOMAL[chr7:2.69Mb]]	2260_PR40971a_1
PSME4--SPEF2	6	4	6	3.43	ONLY_REF_SPLICE	PSME4^ENSG00000068878.10	chr2:54175558:-	SPEF2^ENSG00000152582.8	chr5:35806809:+	YES_LDAS	0.1458	GT	1.8323	AG	1.8062	[INTERCHROMOSOMAL[chr2--chr5]]	2260_PR40971a_1
FARP1--HS6ST3	6	4	6	4	ONLY_REF_SPLICE	FARP1^ENSG00000152767.11	chr13:98865667:+	HS6ST3^ENSG00000185352.7	chr13:97484744:+	YES_LDAS	0.1547	GT	1.9656	AG	1.6895	[INTRACHROMOSOMAL[chr13:1.31Mb]]	2260_PR40971a_1
WDR70--RP11-736K20.5	5	7	5	7	ONLY_REF_SPLICE	WDR70^ENSG00000082068.4	chr5:37396672:+	RP11-736K20.5^ENSG00000255471.1	chr11:86633140:-	YES_LDAS	0.1855	GT	0.9968	AG	1.9329	[INTERCHROMOSOMAL[chr5--chr11]]	2260_PR40971a_1
EIF2AK1--CYTH3	4	7	4	5.56	INCL_NON_REF_SPLICE	EIF2AK1^ENSG00000086232.8	chr7:6073486:-	CYTH3^ENSG00000008256.11	chr7:6205427:-	YES_LDAS	0.1479	GC	1.4295	AG	1.7819	[INTRACHROMOSOMAL[chr7:0.10Mb]]	2260_PR40971a_1
GPNMB--ADAP1	148	17	148	17	ONLY_REF_SPLICE	GPNMB^ENSG00000136235.11	chr7:23293931:+	ADAP1^ENSG00000105963.9	chr7:944809:-	YES_LDAS	3.4864	GT	1.7968	AG	1.7968	[INTRACHROMOSOMAL[chr7:22.28Mb]]	2260_PR40971d_1
RNF121--FOLR2	51	4	51	3.4	ONLY_REF_SPLICE	RNF121^ENSG00000137522.13	chr11:71671937:+	FOLR2^ENSG00000165457.9	chr11:71931914:+	YES_LDAS	1.1494	GT	1.7465	AG	1.9656	[INTRACHROMOSOMAL[chr11:0.22Mb]]	2260_PR40971d_1
GPR75-ASB3--C11orf70	46	25	46	22.27	ONLY_REF_SPLICE	GPR75-ASB3^ENSG00000115239.17	chr2:53977920:-	C11orf70^ENSG00000137691.8	chr11:101918546:+	YES_LDAS	1.4426	GT	1.8295	AG	1.8892	[INTERCHROMOSOMAL[chr2--chr11]]	2260_PR40971d_1
GPR75-ASB3--C11orf70	41	7	41	2.73	ONLY_REF_SPLICE	GPR75-ASB3^ENSG00000115239.17	chr2:53977920:-	C11orf70^ENSG00000137691.8	chr11:101929611:+	YES_LDAS	0.924	GT	1.8295	AG	1.8892	[INTERCHROMOSOMAL[chr2--chr11]]	2260_PR40971d_1
NUMA1--KCNIP4	32	11	32	4.46	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71780888:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.7704	GT	1.9086	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971d_1
PHF14--HIBADH	28	8	28	8	ONLY_REF_SPLICE	PHF14^ENSG00000106443.10	chr7:11062606:+	HIBADH^ENSG00000106049.4	chr7:27578036:-	YES_LDAS	0.7606	GT	1.8892	AG	1.9329	[INTRACHROMOSOMAL[chr7:16.36Mb]]	2260_PR40971d_1
ADCY2--RP11-206L10.2	27	14	27	14	ONLY_REF_SPLICE	ADCY2^ENSG00000078295.11	chr5:7626429:+	RP11-206L10.2^ENSG00000228327.2	chr1:701767:-	YES_LDAS	0.8663	GT	1.6729	AG	1.7968	[INTERCHROMOSOMAL[chr5--chr1]]	2260_PR40971d_1
ADCY2--DYNC2H1	26	4	26	4	ONLY_REF_SPLICE	ADCY2^ENSG00000078295.11	chr5:7626429:+	DYNC2H1^ENSG00000187240.9	chr11:103178450:+	YES_LDAS	0.6339	GT	1.6729	AG	1.8323	[INTERCHROMOSOMAL[chr5--chr11]]	2260_PR40971d_1
NUMA1--KCNIP4	25	18	25	11.19	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71752005:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.7646	GT	1.8323	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971d_1
RNF216P1--IGF2BP3	22	3	22	3	ONLY_REF_SPLICE	RNF216P1^ENSG00000196204.7	chr7:5024706:+	IGF2BP3^ENSG00000136231.9	chr7:23381808:-	YES_LDAS	0.5283	GT	1.7819	AG	1.8256	[INTRACHROMOSOMAL[chr7:18.27Mb]]	2260_PR40971d_1
AFF1--PPARGC1A	18	3	18	3	ONLY_REF_SPLICE	AFF1^ENSG00000172493.16	chr4:87968746:+	PPARGC1A^ENSG00000109819.4	chr4:23886554:-	YES_LDAS	0.4437	GT	1.9656	AG	1.5058	[INTRACHROMOSOMAL[chr4:63.95Mb]]	2260_PR40971d_1
EIF2AK1--CYTH3	13	0	13	0	ONLY_REF_SPLICE	EIF2AK1^ENSG00000086232.8	chr7:6077055:-	CYTH3^ENSG00000008256.11	chr7:6205058:-	YES_LDAS	0.2747	GT	1.9329	AG	1.9219	[INTRACHROMOSOMAL[chr7:0.10Mb]]	2260_PR40971d_1
TMEM123--RP11-155G14.5	13	1	13	1	ONLY_REF_SPLICE	TMEM123^ENSG00000152558.10	chr11:102319543:-	RP11-155G14.5^ENSG00000272601.1	chr7:128106617:+	YES_LDAS	0.2958	GT	1.9656	AG	1.7968	[INTERCHROMOSOMAL[chr11--chr7]]	2260_PR40971d_1
SNORA50--CNOT1	13	1	13	1	INCL_NON_REF_SPLICE	SNORA50^ENSG00000206952.2	chr16:58593708:-	CNOT1^ENSG00000125107.12	chr16:58594266:-	YES_LDAS	0.2958	GT	1.6895	AG	1.9086	[INTERCHROMOSOMAL[chr5--chr16]]	2260_PR40971d_1
PPME1--IRF5	13	3	13	2.17	ONLY_REF_SPLICE	PPME1^ENSG00000214517.4	chr11:73882567:+	IRF5^ENSG00000128604.14	chr7:128582125:+	YES_LDAS	0.3206	GT	1.8323	AG	1.8295	[INTERCHROMOSOMAL[chr11--chr7]]	2260_PR40971d_1
TCEB3--RNF34	12	2	12	2	INCL_NON_REF_SPLICE	TCEB3^ENSG00000011007.8	chr1:24070068:+	RNF34^ENSG00000170633.12	chr12:121868100:+	YES_LDAS	0.2959	GT	1.8256	AG	1.6402	[INTERCHROMOSOMAL[chr1--chr12]]	2260_PR40971d_1
RP11-367G6.3--FAM65B	11	0	11	0	ONLY_REF_SPLICE	RP11-367G6.3^ENSG00000272053.1	chr6:25042079:-	FAM65B^ENSG00000111913.11	chr6:24876045:-	YES_LDAS	0.2324	GT	1.7465	AG	1.7819	[INTRACHROMOSOMAL[chr6:0.08Mb],NEIGHBORS[78992]]	2260_PR40971d_1
RP1-34H18.1--NAV3	10	1	10	1	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.2324	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40971d_1
GNA12--MAFK	10	4	10	4	ONLY_REF_SPLICE	GNA12^ENSG00000146535.9	chr7:2883487:-	MAFK^ENSG00000198517.5	chr7:1578785:+	YES_LDAS	0.2958	GT	1.8323	AG	1.9656	[INTRACHROMOSOMAL[chr7:1.19Mb]]	2260_PR40971d_1
RNF121--FOLR2	9	4	9	0.6	ONLY_REF_SPLICE	RNF121^ENSG00000137522.13	chr11:71671937:+	FOLR2^ENSG00000165457.9	chr11:71929605:+	YES_LDAS	0.2029	GT	1.7465	AG	1.8323	[INTRACHROMOSOMAL[chr11:0.22Mb]]	2260_PR40971d_1
GPNMB--SEPT14	8	0	8	0	ONLY_REF_SPLICE	GPNMB^ENSG00000136235.11	chr7:23300392:+	SEPT14^ENSG00000154997.8	chr7:55863785:-	YES_LDAS	0.169	GT	1.6895	AG	1.9899	[INTRACHROMOSOMAL[chr7:32.55Mb]]	2260_PR40971d_1
DLG2--SPEF2	8	1	8	1	ONLY_REF_SPLICE	DLG2^ENSG00000150672.12	chr11:83497733:-	SPEF2^ENSG00000152582.8	chr5:35771711:+	YES_LDAS	0.1901	GT	1.8295	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr5]]	2260_PR40971d_1
STEAP1B--RAPGEF5	7	1	7	1	ONLY_REF_SPLICE	STEAP1B^ENSG00000105889.10	chr7:22532184:-	RAPGEF5^ENSG00000136237.14	chr7:22357656:-	YES_LDAS	0.169	GT	1.7465	AG	1.8295	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr7:0.06Mb],NEIGHBORS[62300]]	2260_PR40971d_1
NUMA1--KCNIP4	7	11	7	0.97	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71752869:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.1684	GT	1.9329	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971d_1
AFF1--AP000439.5	6	0	6	0	ONLY_REF_SPLICE	AFF1^ENSG00000172493.16	chr4:87869723:+	AP000439.5^ENSG00000261347.1	chr11:69283966:+	YES_LDAS	0.1268	GT	1.8256	AG	1.6729	[INTERCHROMOSOMAL[chr4--chr11]]	2260_PR40971d_1
TULP4--RP11-732M18.3	6	1	6	0.55	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.1384	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40971d_1
TRIO--ZDHHC11	5	0	5	0	ONLY_REF_SPLICE	TRIO^ENSG00000038382.13	chr5:14143991:+	ZDHHC11^ENSG00000188818.8	chr5:801279:-	YES_LDAS	0.1056	GT	1.6895	AG	1.7465	[INTRACHROMOSOMAL[chr5:13.29Mb]]	2260_PR40971d_1
MOB1B--RUFY3	5	0	5	0	ONLY_REF_SPLICE	MOB1B^ENSG00000173542.4	chr4:71768267:+	RUFY3^ENSG00000018189.8	chr4:71640885:+	YES_LDAS	0.1056	GT	1.8295	AG	1.9656	[INTRACHROMOSOMAL[chr4:0.10Mb],LOCAL_REARRANGEMENT:+:[95011]]	2260_PR40971d_1
TRA2A--SDHAP3	5	1	5	1	ONLY_REF_SPLICE	TRA2A^ENSG00000164548.6	chr7:23571408:-	SDHAP3^ENSG00000185986.10	chr5:1593399:-	YES_LDAS	0.1267	GT	1.9086	AG	1.8892	[INTERCHROMOSOMAL[chr7--chr5]]	2260_PR40971d_1
GPNMB--ETV1	5	1	5	1	ONLY_REF_SPLICE	GPNMB^ENSG00000136235.11	chr7:23286546:+	ETV1^ENSG00000006468.9	chr7:14028764:-	YES_LDAS	0.1267	GT	1.9656	AG	1.9329	[INTRACHROMOSOMAL[chr7:9.24Mb]]	2260_PR40971d_1
C11orf70--GPR75-ASB3	5	1	5	1	ONLY_REF_SPLICE	C11orf70^ENSG00000137691.8	chr11:101929686:+	GPR75-ASB3^ENSG00000115239.17	chr2:53978078:-	YES_LDAS	0.1267	GT	1.7819	AG	1.7819	[INTERCHROMOSOMAL[chr11--chr2]]	2260_PR40971d_1
BZW2--NOX4	5	1	5	1	ONLY_REF_SPLICE	BZW2^ENSG00000136261.10	chr7:16744294:+	NOX4^ENSG00000086991.8	chr11:89088211:-	YES_LDAS	0.1267	GT	1.4716	AG	1.9086	[INTERCHROMOSOMAL[chr7--chr11]]	2260_PR40971d_1
PPME1--IRF5	5	3	5	0.83	INCL_NON_REF_SPLICE	PPME1^ENSG00000214517.4	chr11:73882567:+	IRF5^ENSG00000128604.14	chr7:128577785:+	YES_LDAS	0.1231	GT	1.8323	AG	1.8892	[INTERCHROMOSOMAL[chr11--chr7]]	2260_PR40971d_1
MTMR12--RP11-164N3.1	4	1	4	1	ONLY_REF_SPLICE	MTMR12^ENSG00000150712.6	chr5:32312864:-	RP11-164N3.1^ENSG00000255516.1	chr11:87783274:+	YES_LDAS	0.1056	GT	1.9656	AG	1.9656	[INTERCHROMOSOMAL[chr5--chr11]]	2260_PR40971d_1
NUMA1--KCNIP4	4	13	4	0.83	ONLY_REF_SPLICE	NUMA1^ENSG00000137497.13	chr11:71752474:-	KCNIP4^ENSG00000185774.10	chr4:20736358:-	YES_LDAS	0.102	GT	1.9086	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr4]]	2260_PR40971d_1
CTNNBIP1--CCDC127	3	2	3	2	ONLY_REF_SPLICE	CTNNBIP1^ENSG00000178585.10	chr1:9937963:-	CCDC127^ENSG00000164366.3	chr5:206073:-	YES_LDAS	0.1057	GT	1.9219	AG	1.6895	[INTERCHROMOSOMAL[chr1--chr5]]	2260_PR40971d_1
